,ra,dec
818,128.11690756,26.67927052
819,130.17453655,25.62343082
820,127.16209436,25.62179264
821,132.26643612,26.63838804
822,127.17527649,24.75545253
823,132.21213835,24.72764686
824,129.22091103,27.54623051
825,126.01555168,27.51898451
826,129.21862073,26.679736
827,131.2602042,24.74657462
828,129.21543478,25.62865018
829,128.11056252,27.54571114
830,131.27775666,25.61283764
831,125.09934295,25.58188206
832,130.15502136,23.71022064
833,131.29913883,26.65766511
834,128.13665621,22.84775343
835,129.21313844,24.76221314
836,130.18642758,26.67445816
837,130.19004206,4.03280034
838,132.04677826,1.25117116
839,132.04649636,2.11770908
840,128.32468756,4.02629312
841,127.4641094,3.15408279
842,129.31816625,5.94495494
843,128.33009127,3.15994526
844,129.32184753,5.07846758
845,129.32310264,4.02971178
846,132.04604652,3.16465731
847,131.17997364,3.1642116
848,128.33434176,2.1119559
849,127.46917123,2.10807347
850,129.32863064,2.1155202
851,129.32937783,1.24900205
852,127.47294969,1.24179788
853,131.181224,2.11723076
854,132.04661004,5.08232307
855,133.03794379,2.12171728
856,132.04692475,5.94887295
857,132.04604779,4.03115787
858,131.17911353,4.03072381
859,131.17835787,5.08190466
860,131.17741873,5.94847281
861,130.19417503,1.2496152
862,130.19260522,3.16629194
863,130.19391649,2.11617192
864,130.18760875,5.9480338
865,133.04185027,3.16720686
866,133.04504307,5.0787641
867,133.04334671,4.03368877
868,128.32572367,5.07426808
869,129.32656532,3.16323019
870,133.03531474,1.25529479
871,128.33768037,1.24559351
872,131.18199312,1.2506512
873,130.19006505,5.08151683
874,127.45757315,5.0677255
875,138.88743313,2.11801227
876,135.17854896,1.24652471
877,139.88291951,3.16733287
878,136.16959109,2.11626923
879,138.88711678,3.16496526
880,137.03140024,5.08212177
881,137.03485643,2.11677779
882,138.02030955,4.03118243
883,138.88835853,5.94918777
884,138.01970515,5.08234988
885,138.88723215,4.03147968
886,135.16589372,4.02720346
887,135.17530829,2.11287607
888,138.02214905,2.11766819
889,136.16320649,5.07923742
890,137.03368581,3.16689735
891,137.03500746,1.25023502
892,136.17023057,1.24975283
893,136.16766898,3.16397177
894,136.16432641,4.03046549
895,138.02104453,3.16465258
896,137.03124863,4.03341207
897,138.88760177,1.25147094
898,138.01888357,5.94891688
899,138.02281378,1.25110375
900,139.87889107,2.12183127
901,139.88453332,4.03382281
902,138.88792665,5.08262518
903,139.87614213,1.25542287
904,139.88638124,5.07890931
905,138.25858724,11.22699107
906,136.3622244,8.45026279
907,135.3603362,10.36593869
908,134.47075816,12.27639807
909,135.36272048,9.31588665
910,137.25145103,13.14636015
911,137.24161543,10.36227565
912,136.36253501,10.36373349
913,133.47964502,9.30609101
914,134.46437429,13.1428391
915,135.36385166,8.44936357
916,136.3632542,12.28135594
917,136.36250676,9.3168008
918,132.59100732,10.34289809
919,135.35237249,13.14759693
920,135.35578598,12.28110813
921,134.48647379,9.31357335
922,138.25235497,10.36055567
923,134.48978723,8.44710024
924,133.45985325,11.22027068
925,135.35685248,11.23243185
926,136.36537953,14.19476512
927,133.45538462,12.26820176
928,137.24831367,12.27985572
929,132.57051219,12.25638109
930,138.24276162,9.31514078
931,134.48129085,10.36122598
932,132.60361359,9.29701604
933,132.61358797,8.43081738
934,136.36335989,13.1478801
935,134.47519224,11.2276766
936,138.26605481,12.27201747
937,138.23546303,8.44880262
938,133.46988426,10.35396963
939,137.24435757,11.22873322
940,136.36272399,11.23021384
941,137.23632433,8.44887768
942,137.23876128,9.315384000000002
943,133.48750368,8.43978671
944,140.9777997,27.52017056
945,143.07887317,26.67987002
946,142.08312321,28.58139826
947,142.09759567,27.53761816
948,142.13659087,24.75629245
949,140.12086629,23.67201098
950,144.16904261,22.84908577
951,144.17163202,23.71558021
952,145.14838685,26.67444358
953,145.11603722,23.71021028
954,143.08278931,25.63123234
955,142.11111897,26.67125913
956,146.17952649,22.83487943
957,143.06782561,28.59208349
958,144.18842464,28.59333078
959,141.01934555,25.60627499
960,145.13614291,25.62342129
961,141.0411596,24.74019606
962,143.09404381,23.71478592
963,144.18058155,26.68000277
964,143.07282325,27.54630221
965,140.03387583,26.63036744
966,142.12370122,25.6226376
967,143.0888067,24.76479675
968,144.18317049,27.54649907
969,146.23932569,25.61253385
970,141.08362252,22.82640911
971,142.14964493,23.70874146
972,140.14599815,22.80611106
973,142.15924556,22.8423403
